t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
208135,0.68285,-0.44822,-0.56219,0.11565,0.50073,-0.86792,-0.01538,-8.66699,-0.06104,-12.26807
208175,0.68261,-0.44889,-0.56244,0.11325,0.50464,-0.8269,-0.04053,-5.98145,3.05176,-15.25879
208214,0.6822,-0.45004,-0.56275,0.10958,0.52295,-0.86328,-0.03613,-10.25391,9.58252,-15.80811
208255,0.68342,-0.4522,-0.5603,0.10556,0.48657,-0.85376,-0.01831,-10.13184,11.23047,-11.47461
208295,0.68248,-0.45508,-0.55957,0.10311,0.4939,-0.87012,-0.02417,-8.30078,-1.77002,-10.37598
208339,0.68313,-0.45586,-0.55847,0.10132,0.55566,-0.7832,-0.01123,-4.57764,12.26807,-8.05664
208380,0.68403,-0.45816,-0.55613,0.09769,0.49585,-0.81616,-0.01953,-10.43701,3.78418,-13.61084
208420,0.68133,-0.45859,-0.55955,0.09499,0.53833,-0.79346,-0.05981,-10.86426,-9.76563,-19.77539
208460,0.67888,-0.45991,-0.56207,0.09116,0.50879,-0.86548,-0.04834,-12.3291,1.95313,-15.80811
208500,0.67821,-0.46151,-0.56199,0.08855,0.49219,-0.79468,-0.05664,-8.23975,1.95313,-11.65771
208544,0.6769,-0.46513,-0.56102,0.08563,0.51685,-0.85107,-0.06055,-8.48389,11.1084,-6.7749
208585,0.67789,-0.46842,-0.5574,0.08356,0.50244,-0.82153,-0.07886,-9.52148,10.31494,-5.7373
208625,0.67779,-0.47254,-0.55443,0.08088,0.55347,-0.85596,-0.08081,-12.51221,15.74707,-4.5166
208665,0.67969,-0.47681,-0.54896,0.07704,0.49219,-0.87476,-0.06543,-8.91113,18.73779,-7.38525
208705,0.68012,-0.479,-0.54697,0.0738,0.52002,-0.8396,-0.08228,-6.53076,6.16455,-14.64844
208749,0.68096,-0.48022,-0.54547,0.06909,0.50659,-0.84375,-0.04614,-11.96289,11.41357,-16.96777
208790,0.68025,-0.48152,-0.54578,0.06448,0.53735,-0.82471,-0.06201,-8.78906,1.52588,-19.65332
208830,0.68024,-0.48112,-0.54664,0.06006,0.51392,-0.78174,-0.05615,-10.74219,5.24902,-19.89746
208870,0.67997,-0.4825,-0.54632,0.05465,0.52905,-0.79663,-0.06714,-6.22559,12.08496,-14.46533
208910,0.68028,-0.4843,-0.54474,0.05054,0.50439,-0.78442,-0.08057,-13.73291,5.61523,-14.64844
208954,0.67783,-0.48701,-0.54578,0.04605,0.54736,-0.83887,-0.11816,-10.49805,9.94873,-13.48877
208995,0.67909,-0.48917,-0.5426,0.04199,0.53271,-0.76563,-0.09033,-8.8501,12.75635,-9.70459
209035,0.67578,-0.49274,-0.54376,0.03865,0.56738,-0.85693,-0.10791,-18.49365,-7.32422,-15.86914
209075,0.67749,-0.49386,-0.541,0.03257,0.57153,-0.77148,-0.05322,-6.10352,40.46631,-9.27734
209115,0.68229,-0.49611,-0.53335,0.02263,0.48877,-0.82202,-0.11133,-16.6626,25.75684,-20.38574
209159,0.67979,-0.49722,-0.53582,0.01369,0.729,-0.7583,-0.1604,-11.16943,11.77979,-29.1748
209200,0.67813,-0.49793,-0.53743,-0.00193,0.77271,-0.78174,-0.22241,-27.64893,33.20313,-36.25488
209240,0.67988,-0.50032,-0.53245,-0.02388,0.66504,-0.72729,-0.23267,-38.33008,62.13379,-35.5835
209280,0.68323,-0.50332,-0.52349,-0.04951,0.70996,-0.74463,-0.1355,-26.97754,60.30273,-45.59326
