t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
120842,0.60552,-0.49624,-0.58315,0.20895,0.41553,-0.82935,-0.17358,-12.20703,17.94434,-13.00049
120886,0.60676,-0.49848,-0.58279,0.20085,0.40381,-0.86865,-0.16699,-14.70947,12.08496,-15.31982
120926,0.6074,-0.49928,-0.58298,0.19633,0.43311,-0.8291,-0.16626,-7.75146,8.17871,-12.20703
120966,0.60826,-0.50079,-0.58251,0.19114,0.41064,-0.84863,-0.14355,-13.85498,11.96289,-12.39014
121007,0.60932,-0.50221,-0.58168,0.18651,0.4292,-0.83447,-0.17065,-7.20215,11.35254,-5.85938
121047,0.61046,-0.50458,-0.57994,0.18174,0.42236,-0.86694,-0.20288,-8.66699,10.43701,-8.42285
121091,0.6109,-0.50563,-0.58025,0.17629,0.46753,-0.89136,-0.18726,-13.12256,14.70947,-15.01465
121132,0.61345,-0.50707,-0.57837,0.16933,0.41528,-0.84839,-0.1814,-6.95801,21.66748,-13.18359
121172,0.61464,-0.50949,-0.57681,0.16297,0.39746,-0.91406,-0.18994,-16.17432,11.90186,-15.01465
121212,0.61486,-0.50966,-0.57738,0.15953,0.44653,-0.83472,-0.22778,-0.24414,10.25391,-16.78467
121252,0.6169,-0.51026,-0.57629,0.15356,0.38232,-0.86694,-0.22949,-14.34326,14.95361,-15.80811
121296,0.61612,-0.51059,-0.57845,0.14736,0.45947,-0.82617,-0.20386,-8.78906,9.15527,-21.11816
121337,0.61635,-0.51195,-0.57887,0.13986,0.38306,-0.87915,-0.18774,-22.03369,9.09424,-20.1416
121377,0.61532,-0.51262,-0.5807,0.13421,0.45898,-0.79541,-0.20654,-5.5542,11.16943,-20.08057
121417,0.61581,-0.51386,-0.58078,0.12664,0.39111,-0.88525,-0.18726,-20.1416,8.30078,-21.66748
121457,0.61446,-0.51325,-0.58339,0.12371,0.48706,-0.80518,-0.21216,-1.89209,-2.68555,-16.8457
121501,0.61431,-0.51402,-0.58454,0.11557,0.48022,-0.85083,-0.25317,-22.64404,18.61572,-20.38574
121542,0.61089,-0.51684,-0.58678,0.10959,0.41406,-0.80737,-0.31885,-9.76563,-15.625,-11.59668
121582,0.60653,-0.51457,-0.5936,0.10775,0.74976,-0.7583,-0.30396,-2.13623,4.82178,-23.55957
121622,0.61427,-0.51646,-0.58689,0.09016,0.60522,-0.7251,-0.47656,-31.79932,68.90869,-20.38574
121662,0.60772,-0.52468,-0.58915,0.07017,0.60571,-0.62842,-0.66431,-49.56055,10.55908,-25.81787
121706,0.60068,-0.53683,-0.58868,0.03293,0.56494,-0.6875,-0.771,-83.12988,78.97949,-42.90771
121747,0.59589,-0.55014,-0.5821,-0.00755,0.53809,-0.69556,-0.52026,-89.2334,98.75488,-34.5459
121787,0.59532,-0.5616,-0.56945,-0.05063,0.7002,-0.67676,-0.54712,-85.69336,102.66113,-51.08643
121827,0.59631,-0.57139,-0.55108,-0.10423,0.69165,-0.8667,-0.44458,-109.86328,137.26807,-49.19434
121867,0.59856,-0.57784,-0.52686,-0.16392,0.99829,-0.65796,-0.55273,-109.80225,173.52295,-61.76758
121912,0.59566,-0.58358,-0.49378,-0.23963,0.90698,-0.82837,-0.53857,-123.84033,162.53662,-81.72607
121952,0.59013,-0.58003,-0.46451,-0.31013,1.11816,-0.71484,-0.56201,-126.0376,185.72998,-97.41211
121992,0.57509,-0.57284,-0.43951,-0.38024,1.11304,-0.76807,-0.44043,-121.521,136.23047,-122.13135
122032,0.55727,-0.55726,-0.41097,-0.45458,1.31641,-0.79077,-0.45264,-126.64795,228.69873,-129.94385
122072,0.54358,-0.52365,-0.37169,-0.53739,1.04419,-0.76099,-0.21606,-97.29004,203.00293,-160.70557
122116,0.51776,-0.47917,-0.33769,-0.62041,1.24316,-0.67456,-0.15796,-83.6792,257.93457,-173.58398
122157,0.49708,-0.42343,-0.30037,-0.69284,0.96655,-0.5708,0.07031,-54.13818,238.28125,-179.26025
122197,0.46687,-0.36654,-0.27502,-0.7541,1.02271,-0.52026,0.25195,-42.96875,200.80566,-196.65527
122237,0.43272,-0.31009,-0.25257,-0.80587,0.6543,-0.26465,0.43213,-27.46582,161.8042,-184.08203
122277,0.3968,-0.24787,-0.23014,-0.85134,0.73901,-0.18701,0.50684,-12.39014,262.146,-184.44824
122321,0.35388,-0.17624,-0.20079,-0.89444,0.34521,-0.24243,0.6792,-9.58252,50.65918,-177.06299
122362,0.30012,-0.14494,-0.20332,-0.91881,0.06348,0.07886,0.53589,-20.81299,104.79736,-168.15186
122402,0.25722,-0.10688,-0.1924,-0.93916,0.28589,0.07764,0.69946,-2.19727,40.58838,-148.74268
122442,0.21374,-0.07278,-0.18636,-0.95442,-0.43677,0.42456,0.63794,-8.05664,111.08398,-135.74219
122482,0.18717,-0.036,-0.17638,-0.96394,-0.20947,0.08252,0.72144,-5.85938,24.6582,-71.04492
122526,0.16085,-0.02487,-0.17648,-0.96902,-0.02295,0.32202,0.771,-7.93457,17.8833,-47.72949
122567,0.15599,-0.00938,-0.16367,-0.97233,0.18994,-0.01709,0.87964,-31.06689,-6.71387,-26.48926
122607,0.13566,-0.00089,-0.16026,-0.97598,-0.34253,0.75269,0.82129,-6.71387,8.30078,-74.09668
122647,0.13088,-0.00294,-0.15811,-0.97698,0.27417,0.28467,0.85938,-14.03809,-3.96729,24.96338
122687,0.13579,-0.00601,-0.16352,-0.97541,-0.09814,0.71436,0.91138,-6.34766,-58.1665,25.93994
122731,0.16038,-0.01452,-0.16523,-0.97128,0.76758,0.35205,0.70557,-25.32959,48.21777,60.60791
122772,0.17069,-0.02851,-0.16251,-0.96968,0.83521,0.54614,0.87402,6.65283,-6.16455,5.31006
122812,0.17563,-0.03044,-0.16794,-0.96781,0.70728,0.6228,0.78467,-10.25391,17.15088,10.00977
122852,0.17293,-0.04036,-0.17682,-0.96635,0.51025,0.57227,0.68433,14.16016,-22.2168,-16.23535
122896,0.17183,-0.03405,-0.17838,-0.9665,0.19629,0.46436,0.96094,-19.28711,61.52344,2.0752
122936,0.17091,-0.03639,-0.1758,-0.96705,0.35132,0.25317,0.81226,4.88281,-30.63965,-16.23535
122976,0.16789,-0.02849,-0.17597,-0.96781,0.19971,0.47852,0.81934,-20.08057,79.40674,-5.37109
123017,0.16917,-0.02601,-0.17142,-0.96848,0.24316,0.30103,0.71338,0.73242,-51.45264,0.97656
123057,0.16715,-0.03755,-0.17609,-0.96761,0.54614,0.62427,0.85596,-15.25879,34.24072,-4.57764
123101,0.17282,-0.02896,-0.167,-0.96852,0.31714,0.36694,0.79883,-9.21631,-9.94873,3.54004
123142,0.16954,-0.03367,-0.17442,-0.96764,0.45313,0.61279,1.0022,4.69971,41.1377,-11.96289
123182,0.16947,-0.01153,-0.18313,-0.96656,0.43286,0.49194,0.86206,52.00195,69.03076,-25.75684
123222,0.16201,-0.01036,-0.19334,-0.96586,0.52759,0.4043,0.94458,-8.05664,-13.3667,-11.65771
123262,0.16264,-0.01689,-0.18975,-0.96638,0.37915,0.61499,0.8728,-96.92383,1.40381,33.69141
123306,0.16811,-0.03554,-0.16144,-0.97007,0.71021,0.63965,1.01074,-19.16504,12.81738,-20.32471
123347,0.16828,-0.02046,-0.14962,-0.97237,0.14575,0.20166,0.86621,-11.23047,43.94531,-10.80322
123387,0.16473,-0.0181,-0.15362,-0.9724,0.19458,0.49878,1.02661,-9.58252,4.63867,-12.81738
123427,0.16741,-0.01262,-0.15196,-0.97229,0.52197,0.48633,0.82422,-2.31934,79.1626,10.43701
123467,0.1666,-0.00535,-0.16105,-0.97103,0.63354,0.84839,0.92529,38.51318,-5.67627,18.98193
123511,0.16341,0.01452,-0.16915,-0.9701,0.11768,0.11719,0.74414,-5.92041,68.17627,-51.63574
123552,0.17103,0.00166,-0.15791,-0.97079,0.49414,0.44214,1.08057,-21.3623,4.88281,10.13184
123592,0.1728,0.00614,-0.15774,-0.97049,0.28369,0.49463,0.93066,8.78906,34.60693,-7.75146
123632,0.16316,0.01405,-0.16685,-0.97055,0.39502,0.44165,0.90063,20.62988,26.7334,-34.42383
123672,0.15571,0.02639,-0.18068,-0.96904,0.39136,0.4375,1.02588,57.25098,63.47656,-31.12793
123716,0.15563,0.05663,-0.19913,-0.96413,0.0813,0.56201,0.69849,34.85107,71.5332,-15.56396
123757,0.15303,0.06101,-0.20696,-0.96263,0.25903,0.65649,0.95557,7.99561,18.55469,-10.13184
123797,0.14975,0.06531,-0.21093,-0.962,0.25757,0.45923,0.8728,7.50732,15.44189,-11.59668
123837,0.15624,0.07554,-0.21479,-0.95936,0.23682,0.71094,1.06348,19.53125,87.34131,15.99121
