t,qw,qx,qy,qz,ax,ay,az,gx,gy,gz
170758,-0.12663,0.33291,-0.84246,0.40003,-0.73755,-0.65771,-1.06006,-80.56641,-111.51123,-2.62451
170798,-0.16879,0.35215,-0.85184,0.34424,-0.77295,-0.68237,-1.12012,-118.16406,-175.59814,16.47949
170837,-0.2117,0.36826,-0.86035,0.27568,-0.67798,-0.75269,-1.15991,-135.49805,-153.56445,41.07666
170877,-0.25248,0.37594,-0.86644,0.20208,-0.94312,-0.7439,-1.03564,-151.61133,-185.85205,56.21338
170923,-0.30065,0.38065,-0.86609,0.10597,-1.32422,-1.07251,-1.31641,-191.71143,-189.81934,96.67969
170963,-0.35271,0.3635,-0.86022,0.011,-1.25073,-1.28882,-1.01489,-175.23193,-242.73682,166.38184
171003,-0.40406,0.32777,-0.84771,-0.08551,-1.18237,-1.31494,-0.77124,-157.89795,-222.16797,215.02686
171043,-0.43737,0.27015,-0.83748,-0.17601,-1.43018,-1.21973,-0.77344,-135.00977,-154.78516,279.29688
171083,-0.45297,0.20101,-0.82708,-0.25881,-1.4519,-1.13867,-0.53467,-120.30029,-148.01025,301.75781
171123,-0.46786,0.12128,-0.80467,-0.3399,-1.27612,-1.07178,-0.36694,-105.71289,-177.85645,317.44385
171163,-0.47683,0.03733,-0.77769,-0.40382,-0.8064,-0.47559,-0.1228,-57.86133,-134.46045,307.25098
171203,-0.46747,-0.0373,-0.74767,-0.46659,-1.10498,-0.3562,0.10107,-99.79248,-92.83447,315.49072
171243,-0.45092,-0.10988,-0.70677,-0.53075,-0.81616,-0.10669,0.14624,-80.26123,-102.66113,323.85254
171283,-0.42254,-0.17714,-0.65877,-0.59391,-0.81958,-0.33984,0.37598,-79.46777,-64.51416,337.34131
171323,-0.3817,-0.2476,-0.6052,-0.65066,-0.46924,-0.29907,0.5166,-58.10547,-88.86719,346.98486
171363,-0.33151,-0.32063,-0.54014,-0.70155,-0.25244,-0.3855,0.50806,-32.71484,-77.14844,355.65186
171403,-0.27467,-0.39708,-0.47357,-0.73433,-0.15771,-0.84204,0.43408,-15.80811,-168.45703,322.5708
171443,-0.21678,-0.49306,-0.4056,-0.73622,1.02173,-0.6936,0.00049,54.38232,-151.55029,278.50342
171483,-0.15464,-0.56226,-0.36463,-0.72362,2.67114,-0.20923,-0.62378,41.44287,-65.00244,134.09424
171523,-0.13096,-0.57165,-0.36642,-0.72002,1.698,0.6333,-0.00391,58.89893,56.27441,-29.47998
171563,-0.12761,-0.56104,-0.38941,-0.71689,0.28784,0.85742,1.01685,69.45801,-41.1377,-55.78613
171603,-0.13382,-0.53883,-0.40034,-0.72671,0.16846,0.79028,0.11401,-5.37109,78.30811,3.479
171643,-0.13396,-0.5319,-0.39864,-0.7327,0.82813,0.51782,0.16431,-32.71484,-3.96729,9.94873
171683,-0.13264,-0.532,-0.38504,-0.74011,1.01221,0.63477,0.39941,-22.94922,6.46973,3.41797
171723,-0.13886,-0.52512,-0.37984,-0.74654,0.93652,0.5354,0.41089,-15.07568,16.60156,-38.94043
171763,-0.14379,-0.51123,-0.38237,-0.75392,0.57031,0.66626,0.27881,-2.80762,41.93115,-26.12305
171803,-0.14966,-0.49862,-0.38636,-0.75917,0.56812,0.68018,0.2937,-11.53564,10.00977,-24.16992
171842,-0.15143,-0.49234,-0.3833,-0.76445,0.68701,0.68042,0.34937,-10.37598,21.78955,-1.09863
171882,-0.15183,-0.48697,-0.37834,-0.77026,0.85156,0.57056,0.30664,-16.05225,13.48877,-9.64355
171928,-0.15285,-0.48085,-0.37338,-0.7763,0.80054,0.55859,0.3855,-13.06152,12.51221,-15.31982
171968,-0.15484,-0.47422,-0.37037,-0.78141,0.7229,0.60229,0.32349,-10.74219,17.94434,-15.07568
172008,-0.15651,-0.46692,-0.36796,-0.78659,0.60742,0.61255,0.31372,-12.146,19.47021,-9.64355
172048,-0.15926,-0.46389,-0.36428,-0.78954,0.77197,0.62476,0.37085,-12.69531,1.15967,-11.04736
172088,-0.15997,-0.46,-0.36076,-0.79328,0.74194,0.62842,0.33984,-9.39941,24.84131,-7.08008
172128,-0.16034,-0.45468,-0.35873,-0.79718,0.72168,0.59863,0.37085,-8.36182,4.39453,-13.24463
172168,-0.16172,-0.45264,-0.3565,-0.79906,0.76025,0.56665,0.34375,-1.15967,16.17432,-11.59668
172208,-0.16142,-0.4467,-0.35567,-0.80283,0.6897,0.62451,0.40869,-6.53076,10.55908,-9.76563
172248,-0.16192,-0.44415,-0.35232,-0.80561,0.77612,0.54541,0.31494,-11.35254,11.71875,-8.8501
172288,-0.16207,-0.44185,-0.34921,-0.8082,0.75513,0.58984,0.35986,-5.85938,10.55908,-11.53564
172328,-0.16476,-0.43702,-0.34787,-0.81085,0.76636,0.58838,0.34326,-9.27734,19.83643,-18.9209
172368,-0.16729,-0.43247,-0.3468,-0.81323,0.74023,0.60449,0.34985,-8.42285,10.43701,-16.6626
172408,-0.17046,-0.42801,-0.34648,-0.81506,0.698,0.62231,0.35498,-10.19287,15.31982,-18.98193
172448,-0.17392,-0.42414,-0.34447,-0.8172,0.75684,0.58936,0.35229,-11.59668,9.15527,-18.85986
172488,-0.17751,-0.42123,-0.34285,-0.81862,0.71997,0.64136,0.37231,-7.93457,8.30078,-18.24951
172528,-0.18038,-0.41777,-0.34114,-0.82047,0.72705,0.61353,0.35229,-10.19287,12.51221,-13.61084
172568,-0.18276,-0.41462,-0.33952,-0.82222,0.73901,0.65576,0.37622,-8.17871,8.30078,-16.29639
172608,-0.18526,-0.41131,-0.33849,-0.82375,0.70825,0.64966,0.31494,-10.98633,17.63916,-13.73291
